session,wfz,b2_key,local_bytes,b2_bytes,present,size_matches,error
ZYE_0058/2022-01-29/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0058\2022-01-29\1\widefield.wfz,subjects/ZYE_0058/2022-01-29/1/widefield.wfz,92549602124,92549602124,True,True,
AL_0033/2024-11-21/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2024-11-21\1\widefield.wfz,subjects/AL_0033/2024-11-21/1/widefield.wfz,87683477207,,False,False,FileNotPresent: File not present: subjects/AL_0033/2024-11-21/1/widefield.wfz
AL_0036/2025-01-08/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0036\2025-01-08\1\widefield.wfz,subjects/AL_0036/2025-01-08/1/widefield.wfz,91890037894,,False,False,FileNotPresent: File not present: subjects/AL_0036/2025-01-08/1/widefield.wfz
AL_0039/2025-06-18/2,\\sahale.biostr.washington.edu\data\Subjects\AL_0039\2025-06-18\2\widefield.wfz,subjects/AL_0039/2025-06-18/2/widefield.wfz,80933265821,,False,False,FileNotPresent: File not present: subjects/AL_0039/2025-06-18/2/widefield.wfz
AL_0039/2025-10-02/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0039\2025-10-02\1\widefield.wfz,subjects/AL_0039/2025-10-02/1/widefield.wfz,102737582949,,False,False,FileNotPresent: File not present: subjects/AL_0039/2025-10-02/1/widefield.wfz
AL_0033/2024-08-09/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2024-08-09\1\widefield.wfz,subjects/AL_0033/2024-08-09/1/widefield.wfz,87305399347,,False,False,FileNotPresent: File not present: subjects/AL_0033/2024-08-09/1/widefield.wfz
ZYE_0049/2021-12-04/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0049\2021-12-04\1\widefield.wfz,subjects/ZYE_0049/2021-12-04/1/widefield.wfz,96260009447,96260009447,True,True,
AL_0033/2024-08-18/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2024-08-18\1\widefield.wfz,subjects/AL_0033/2024-08-18/1/widefield.wfz,84055864052,,False,False,FileNotPresent: File not present: subjects/AL_0033/2024-08-18/1/widefield.wfz
ZYE_0049/2021-12-01/2,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0049\2021-12-01\2\widefield.wfz,subjects/ZYE_0049/2021-12-01/2/widefield.wfz,92733745745,92733745745,True,True,
AB_0032/2024-07-29/1,\\sahale.biostr.washington.edu\data\Subjects\AB_0032\2024-07-29\1\widefield.wfz,subjects/AB_0032/2024-07-29/1/widefield.wfz,90634212367,,False,False,FileNotPresent: File not present: subjects/AB_0032/2024-07-29/1/widefield.wfz
ZYE_0009/2020-08-15/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0009\2020-08-15\1\widefield.wfz,subjects/ZYE_0009/2020-08-15/1/widefield.wfz,88654585848,88654585848,True,True,
AL_0033/2025-02-13/2,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-02-13\2\widefield.wfz,subjects/AL_0033/2025-02-13/2/widefield.wfz,85146418186,,False,False,FileNotPresent: File not present: subjects/AL_0033/2025-02-13/2/widefield.wfz
AL_0033/2025-04-03/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-04-03\1\widefield.wfz,subjects/AL_0033/2025-04-03/1/widefield.wfz,83070913477,,False,False,FileNotPresent: File not present: subjects/AL_0033/2025-04-03/1/widefield.wfz
AL_0039/2025-06-17/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0039\2025-06-17\1\widefield.wfz,subjects/AL_0039/2025-06-17/1/widefield.wfz,81870200196,,False,False,FileNotPresent: File not present: subjects/AL_0039/2025-06-17/1/widefield.wfz
AL_0033/2024-09-09/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2024-09-09\1\widefield.wfz,subjects/AL_0033/2024-09-09/1/widefield.wfz,85010438628,,False,False,FileNotPresent: File not present: subjects/AL_0033/2024-09-09/1/widefield.wfz
AL_0033/2025-01-18/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-01-18\1\widefield.wfz,subjects/AL_0033/2025-01-18/1/widefield.wfz,73954012380,,False,False,FileNotPresent: File not present: subjects/AL_0033/2025-01-18/1/widefield.wfz
ZYE_0041/2021-09-02/2,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0041\2021-09-02\2\widefield.wfz,subjects/ZYE_0041/2021-09-02/2/widefield.wfz,87971194094,87971194094,True,True,
AL_0033/2024-07-19/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2024-07-19\1\widefield.wfz,subjects/AL_0033/2024-07-19/1/widefield.wfz,83326587452,,False,False,FileNotPresent: File not present: subjects/AL_0033/2024-07-19/1/widefield.wfz
