session,wfz,b2_key,local_bytes,in_b2,b2_bytes,b2_uploaded_utc,error
FD_009/2026-06-21/1,\\sahale.biostr.washington.edu\data\Subjects\FD_009\2026-06-21\1\widefield.wfz,subjects/FD_009/2026-06-21/1/widefield.wfz,36726764229,False,,,FileNotPresent
AL_0037/2024-10-01/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0037\2024-10-01\1\widefield.wfz,subjects/AL_0037/2024-10-01/1/widefield.wfz,39183239491,False,,,FileNotPresent
ZYE_0094/2025-06-24/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0094\2025-06-24\1\widefield.wfz,subjects/ZYE_0094/2025-06-24/1/widefield.wfz,33597878018,True,33597878018,2026-08-24T10:01:21+00:00,
FD_008/2026-06-21/1,\\sahale.biostr.washington.edu\data\Subjects\FD_008\2026-06-21\1\widefield.wfz,subjects/FD_008/2026-06-21/1/widefield.wfz,35883447314,False,,,FileNotPresent
ZYE_0031/2021-06-28/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0031\2021-06-28\1\widefield.wfz,subjects/ZYE_0031/2021-06-28/1/widefield.wfz,44052553581,True,44052553581,2026-08-24T03:54:57+00:00,
AL_0036/2025-01-15/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0036\2025-01-15\1\widefield.wfz,subjects/AL_0036/2025-01-15/1/widefield.wfz,39923560570,False,,,FileNotPresent
XL_009/2026-06-17/1,\\sahale.biostr.washington.edu\data\Subjects\XL_009\2026-06-17\1\widefield.wfz,subjects/XL_009/2026-06-17/1/widefield.wfz,38565671533,True,38565671533,2026-08-24T03:54:57+00:00,
ZYE_0009/2020-09-01/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0009\2020-09-01\1\widefield.wfz,subjects/ZYE_0009/2020-09-01/1/widefield.wfz,42931783168,True,42931783168,2026-08-24T03:55:05+00:00,
FD_005/2025-12-29/1,\\sahale.biostr.washington.edu\data\Subjects\FD_005\2025-12-29\1\widefield.wfz,subjects/FD_005/2025-12-29/1/widefield.wfz,31754067304,False,,,FileNotPresent
FD_012/2026-02-12/1,\\sahale.biostr.washington.edu\data\Subjects\FD_012\2026-02-12\1\widefield.wfz,subjects/FD_012/2026-02-12/1/widefield.wfz,32243121278,False,,,FileNotPresent
AL_0041/2026-03-24/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0041\2026-03-24\1\widefield.wfz,subjects/AL_0041/2026-03-24/1/widefield.wfz,34826999232,False,,,FileNotPresent
AL_0033/2025-04-19/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-04-19\1\widefield.wfz,subjects/AL_0033/2025-04-19/1/widefield.wfz,37603604270,False,,,FileNotPresent
AL_0041/2025-11-12/2,\\sahale.biostr.washington.edu\data\Subjects\AL_0041\2025-11-12\2\widefield.wfz,subjects/AL_0041/2025-11-12/2/widefield.wfz,38668622287,False,,,FileNotPresent
ZYE_0051/2022-02-21/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0051\2022-02-21\1\widefield.wfz,subjects/ZYE_0051/2022-02-21/1/widefield.wfz,40696102790,True,40696102790,2026-08-24T04:23:34+00:00,
AL_0033/2025-01-14/7,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-01-14\7\widefield.wfz,subjects/AL_0033/2025-01-14/7/widefield.wfz,38615013571,False,,,FileNotPresent
FD_003/2025-09-11/1,\\sahale.biostr.washington.edu\data\Subjects\FD_003\2025-09-11\1\widefield.wfz,subjects/FD_003/2025-09-11/1/widefield.wfz,32271933928,False,,,FileNotPresent
ZYE_0090/2024-08-13/5,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0090\2024-08-13\5\widefield.wfz,subjects/ZYE_0090/2024-08-13/5/widefield.wfz,37689817085,True,37689817085,2026-08-24T13:44:07+00:00,
FD_001/2025-10-10/4,\\sahale.biostr.washington.edu\data\Subjects\FD_001\2025-10-10\4\widefield.wfz,subjects/FD_001/2025-10-10/4/widefield.wfz,31052558626,False,,,FileNotPresent
AL_0046/2026-03-04/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0046\2026-03-04\1\widefield.wfz,subjects/AL_0046/2026-03-04/1/widefield.wfz,30480411605,False,,,FileNotPresent
AL_0041/2025-11-05/3,\\sahale.biostr.washington.edu\data\Subjects\AL_0041\2025-11-05\3\widefield.wfz,subjects/AL_0041/2025-11-05/3/widefield.wfz,37100606436,False,,,FileNotPresent
ZYE_0090/2024-08-21/3,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0090\2024-08-21\3\widefield.wfz,subjects/ZYE_0090/2024-08-21/3/widefield.wfz,38236405191,True,38236405191,2026-08-24T14:33:42+00:00,
AB_0032/2024-05-25/1,\\sahale.biostr.washington.edu\data\Subjects\AB_0032\2024-05-25\1\widefield.wfz,subjects/AB_0032/2024-05-25/1/widefield.wfz,37434851579,True,37434851579,2026-08-24T17:21:27+00:00,
FD_001/2025-10-09/3,\\sahale.biostr.washington.edu\data\Subjects\FD_001\2025-10-09\3\widefield.wfz,subjects/FD_001/2025-10-09/3/widefield.wfz,32070328737,False,,,FileNotPresent
FD_001/2025-08-18/1,\\sahale.biostr.washington.edu\data\Subjects\FD_001\2025-08-18\1\widefield.wfz,subjects/FD_001/2025-08-18/1/widefield.wfz,30017297862,False,,,FileNotPresent
ZYE_0085/2024-07-23/3,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0085\2024-07-23\3\widefield.wfz,subjects/ZYE_0085/2024-07-23/3/widefield.wfz,37979625401,True,37979625401,2026-08-24T14:11:32+00:00,
FD_001/2025-10-13/3,\\sahale.biostr.washington.edu\data\Subjects\FD_001\2025-10-13\3\widefield.wfz,subjects/FD_001/2025-10-13/3/widefield.wfz,29829301456,False,,,FileNotPresent
AB_0032/2024-05-23/1,\\sahale.biostr.washington.edu\data\Subjects\AB_0032\2024-05-23\1\widefield.wfz,subjects/AB_0032/2024-05-23/1/widefield.wfz,37277389766,True,37277389766,2026-08-24T17:21:07+00:00,
AL_0034/2024-08-30/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-08-30\1\widefield.wfz,subjects/AL_0034/2024-08-30/1/widefield.wfz,36752142158,False,,,FileNotPresent
FD_006/2025-12-15/4,\\sahale.biostr.washington.edu\data\Subjects\FD_006\2025-12-15\4\widefield.wfz,subjects/FD_006/2025-12-15/4/widefield.wfz,33152547821,False,,,FileNotPresent
FD_011/2026-02-18/1,\\sahale.biostr.washington.edu\data\Subjects\FD_011\2026-02-18\1\widefield.wfz,subjects/FD_011/2026-02-18/1/widefield.wfz,32045469847,False,,,FileNotPresent
FD_006/2025-11-10/3,\\sahale.biostr.washington.edu\data\Subjects\FD_006\2025-11-10\3\widefield.wfz,subjects/FD_006/2025-11-10/3/widefield.wfz,32385371803,False,,,FileNotPresent
ZYE_0012/2020-10-16/5,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0012\2020-10-16\5\widefield.wfz,subjects/ZYE_0012/2020-10-16/5/widefield.wfz,40275313913,True,40275313913,2026-08-24T03:55:27+00:00,
